scenario,ok,returncode,n_edges,n_insights_L2,n_alerts_L28,edges_csv_sha256,insights_csv_sha256,edge_jaccard_vs_baseline,insight_jaccard_vs_baseline,edges_added_vs_baseline,edges_removed_vs_baseline,insights_added_vs_baseline,insights_removed_vs_baseline
S0_baseline,False,2,63,23,11,ef8f0213c82bdf979a2b79556970d5e030181bb030f4ccded10d8f3359a10967,ea5c9730f29af52120d8b6550c6b23453dfc0a605b507026e8a43a4655f90072,1.0,1.0,0,0,0,0
S1_stricter_strength,False,2,63,23,11,ef8f0213c82bdf979a2b79556970d5e030181bb030f4ccded10d8f3359a10967,ea5c9730f29af52120d8b6550c6b23453dfc0a605b507026e8a43a4655f90072,1.0,1.0,0,0,0,0
S2_looser_strength,False,2,63,23,11,ef8f0213c82bdf979a2b79556970d5e030181bb030f4ccded10d8f3359a10967,ea5c9730f29af52120d8b6550c6b23453dfc0a605b507026e8a43a4655f90072,1.0,1.0,0,0,0,0
S3_more_support,False,2,63,23,11,ef8f0213c82bdf979a2b79556970d5e030181bb030f4ccded10d8f3359a10967,ea5c9730f29af52120d8b6550c6b23453dfc0a605b507026e8a43a4655f90072,1.0,1.0,0,0,0,0
S4_less_support,False,2,63,23,11,ef8f0213c82bdf979a2b79556970d5e030181bb030f4ccded10d8f3359a10967,ea5c9730f29af52120d8b6550c6b23453dfc0a605b507026e8a43a4655f90072,1.0,1.0,0,0,0,0
S5_shorter_lag,False,2,63,23,11,ef8f0213c82bdf979a2b79556970d5e030181bb030f4ccded10d8f3359a10967,ea5c9730f29af52120d8b6550c6b23453dfc0a605b507026e8a43a4655f90072,1.0,1.0,0,0,0,0
